Source_File,Text_ID,Content_Type,Author,Date,Text,Engagement,Thread_ID,clean_text
春锦赛14.txt,Post_01,Post,8,3/22/2025,,,春锦赛14_Thread_01,
春锦赛14.txt,Comment_01_001,Comment,Kuzzzii,2025-03-22山东,浙A也力挺,,春锦赛14_Thread_01,浙A也力挺
春锦赛14.txt,Comment_01_004,Comment,,2025-03-22山东,老师我今天在外面好像听到你的名字惹,,春锦赛14_Thread_01,老师我今天在外面好像听到你的名字惹
春锦赛14.txt,Comment_01_007,Comment,,2025-03-27浙江,你好 图一可以要原图吗,,春锦赛14_Thread_01,你好 图一可以要原图吗
春锦赛14.txt,Comment_01_010,Comment,,2025-03-27辽宁,视频里截的 画质不咋好,,春锦赛14_Thread_01,视频里截的 画质不咋好
春锦赛14.txt,Post_02,Post,8,编辑于 2025-03-22,,,春锦赛14_Thread_02,
春锦赛14.txt,Comment_02_001,Comment,ėċöïřãÿ,2025-03-22山东,比几天呀,,春锦赛14_Thread_02,比几天呀
春锦赛14.txt,Comment_02_004,Comment,,2025-03-22新加坡,赛程6天，明天就结束了,,春锦赛14_Thread_02,赛程6天，明天就结束了
春锦赛14.txt,Comment_02_006,Comment,Zkk,2025-03-22北京,这高挺的鼻子，和上翘的单眼皮完美,,春锦赛14_Thread_02,这高挺的鼻子，和上翘的单眼皮完美
春锦赛14.txt,Comment_02_008,Comment,,2025-03-23广东,完全是人生照片这组,,春锦赛14_Thread_02,完全是人生照片这组
春锦赛14.txt,Comment_02_010,Comment,,2025-03-22广东,完美的大芒孩,,春锦赛14_Thread_02,完美的大芒孩
春锦赛14.txt,Comment_02_012,Comment,,2025-03-24山东,宝 在哪里蹲运动员签名呀,,春锦赛14_Thread_02,宝 在哪里蹲运动员签名呀
春锦赛14.txt,Post_03,Post,8,3/22/2025,,,春锦赛14_Thread_03,
春锦赛14.txt,Comment_03_001,Comment,,刚刚刷到一个说青岛这么热是因为你来了，是这个土味情话吗🤣,mmmo,,春锦赛14_Thread_03,mmmo
春锦赛14.txt,Comment_03_003,Comment,,2025-03-22山东,是我说的 那个姐妹已经发给我了哈哈,,春锦赛14_Thread_03,是我说的 那个姐妹已经发给我了哈哈
春锦赛14.txt,Comment_03_006,Comment,,2025-03-22山东,哈哈哈哈哈哈哈哈哈我喊了一句董志豪我们喜欢你,,春锦赛14_Thread_03,哈哈哈我喊了一句董志豪我们喜欢你
春锦赛14.txt,Comment_03_008,Comment,,2025-03-22山东,啥也没录上我人都傻了而且我被挤到了第一排视野绝佳,,春锦赛14_Thread_03,啥也没录上我人都傻了而且我被挤到了第一排视野绝佳
春锦赛14.txt,Comment_03_011,Comment,,2025-03-25辽宁,dd我自己,,春锦赛14_Thread_03,dd我自己
春锦赛14.txt,Post_04,Post,8,3/22/2025,,,春锦赛14_Thread_04,
春锦赛14.txt,Comment_04_001,Comment,Joyce,2025-03-24山东,没几个人买票看比赛倒是有不少人蹲下班，也不知道追个啥意思,,春锦赛14_Thread_04,没几个人买票看比赛倒是有不少人蹲下班，也不知道追个啥意思
春锦赛14.txt,Comment_04_002,Comment,momo2,2025-03-24广西,因为能白嫖能私联,,春锦赛14_Thread_04,因为能白嫖能私联
春锦赛14.txt,Comment_04_004,Comment,rey,2025-03-22湖北,我的老天爷周末这么多人呐,,春锦赛14_Thread_04,我的老天爷周末这么多人呐
春锦赛14.txt,Comment_04_006,Comment,,2025-03-23山东,全网三百泳丝一半在这,,春锦赛14_Thread_04,全网三百泳丝一半在这
春锦赛14.txt,Comment_04_008,Comment,,2025-03-23四川,这么多人？？？？,,春锦赛14_Thread_04,这么多人？？？？
春锦赛14.txt,Comment_04_010,Comment,,2025-03-23山东,们泳人也是走起红毯来了,,春锦赛14_Thread_04,们泳人也是走起红毯来了
春锦赛14.txt,Comment_04_012,Comment,,2025-03-23山东,在红毯里面哈哈哈哈哈,,春锦赛14_Thread_04,在红毯里面哈哈哈
春锦赛14.txt,Comment_04_014,Comment,解星却,2025-03-23山东, 粉丝们还一直喊“xx看这边看这边”给他们咔嚓咔嚓拍照，好像红毯记者,,春锦赛14_Thread_04, 粉丝们还一直喊“xx看这边看这边”给他们咔嚓咔嚓拍照，好像红毯记者
春锦赛14.txt,Comment_04_016,Comment,我是一棵树,2025-03-23广东,@碳酸锂锂 好像地狱西,,春锦赛14_Thread_04,@碳酸锂锂 好像地狱西
春锦赛14.txt,Comment_04_018,Comment,碳酸锂锂,2025-03-23广东,比地狱西还夸张,,春锦赛14_Thread_04,比地狱西还夸张
春锦赛14.txt,Comment_04_021,Comment,,2025-03-22上海,蹲一个,,春锦赛14_Thread_04,蹲一个
春锦赛14.txt,Post_05,Post,8,编辑于 2025-03-23,,,春锦赛14_Thread_05,
春锦赛14.txt,Comment_05_001,Comment,Sophie,2025-03-23河北,黑皮小猪：海哥救救我救救我救救我,,春锦赛14_Thread_05,黑皮小猪：海哥救救我救救我救救我
春锦赛14.txt,Comment_05_002,Comment,,2025-03-23山东,Butterfly 霏来的蝶 我看到今天晚上的人我都惊呆了，好多人！以为他们不会从这边过了，但每个人都签的好认真啊,,春锦赛14_Thread_05,Butterfly 霏来的蝶 我看到今天晚上的人我都惊呆了，好多人！以为他们不会从这边过了，但每个人都签的好认真啊
春锦赛14.txt,Post_06,Post,8,3/23/2025,,,春锦赛14_Thread_06,
春锦赛14.txt,Comment_06_001,Comment,我要背书我要背书,2025-03-23山东,加豪是几点出来的哇我走之前咋都没发现他,,春锦赛14_Thread_06,加豪是几点出来的哇我走之前咋都没发现他
春锦赛14.txt,Comment_06_004,Comment,,2025-03-23山东,八点半不到,,春锦赛14_Thread_06,八点半不到
春锦赛14.txt,Post_07,Post,8,3/23/2025,,,春锦赛14_Thread_07,
春锦赛14.txt,Comment_07_001,Comment,我要背书我要背书,2025-03-23山东,太羡慕了都没往我们边边上走,,春锦赛14_Thread_07,太羡慕了都没往我们边边上走
春锦赛14.txt,Comment_07_004,Comment,,2025-03-23山东,今天太挤了我直接摔下两个台阶,,春锦赛14_Thread_07,今天太挤了我直接摔下两个台阶
春锦赛14.txt,Post_08,Post,8,3/23/2025,,,春锦赛14_Thread_08,
春锦赛14.txt,Comment_08_001,Comment,mmmm,2025-03-23山东,她晚上还有决赛吗,,春锦赛14_Thread_08,她晚上还有决赛吗
春锦赛14.txt,Comment_08_006,Comment,,2025-03-23山东,下班了吗,,春锦赛14_Thread_08,下班了吗
春锦赛14.txt,Comment_08_011,Comment,,2025-03-23山东,晚上场几点到,,春锦赛14_Thread_08,晚上场几点到
春锦赛14.txt,Post_09,Post,8,3/23/2025,,,春锦赛14_Thread_09,
春锦赛14.txt,Comment_09_001,Comment,哦,2025-03-23广西,海洋加油，你是好样的,,春锦赛14_Thread_09,海洋加油，你是好样的
春锦赛14.txt,Comment_09_003,Comment,,2025-03-24湖北,好帅啊！,,春锦赛14_Thread_09,好帅啊！
春锦赛14.txt,Comment_09_007,Comment,,2025-03-23广东,哈哈，签的这两张,,春锦赛14_Thread_09,哈哈，签的这两张
春锦赛14.txt,Post_10,Post,8,3/23/2025,,,春锦赛14_Thread_10,
春锦赛14.txt,Comment_10_001,Comment,漫於,2025-03-23山东,童志豪,,春锦赛14_Thread_10,童志豪
春锦赛14.txt,Comment_10_003,Comment,momo,2025-03-23上海,孩子没啥表情的时候还挺熟男（？）的,,春锦赛14_Thread_10,孩子没啥表情的时候还挺熟男（？）的
春锦赛14.txt,Post_11,Post,8,编辑于 2025-03-23,,,春锦赛14_Thread_11,
春锦赛14.txt,Comment_11_001,Comment,山栀svj,2025-03-23广东,想问问第一个和邱天前一个是谁呀？,,春锦赛14_Thread_11,想问问第一个和邱天前一个是谁呀？
